id,title,description,slug,url,icon,help_index_title,help_index_content,help_create_title,help_create_content,help_edit_title,help_edit_content,list_order,is_hidden,parent_id,url_parent_id
1,Dashboard,Dashboard,/,/dashboard,dashboard,,,,,,,1,0,0,0
2,Google Analytics,Google Analytics,analytics,/dashboard/analytics,line-chart,,,,,,,2,0,0,0
3,Summary,,,/dashboard/analytics,star-half-o,,,,,,,1,0,2,2
4,Devices,,devices,/dashboard/analytics/devices,tablet,,,,,,,2,0,2,2
5,Demographics,,demographics,/dashboard/analytics/demographics,female,,,,,,,5,0,2,2
6,Visits and Referrals,,visits-and-referrals,/dashboard/analytics/visits-and-referrals,cloud,,,,,,,3,0,2,2
7,Interests,,interests,/dashboard/analytics/interests,heart,,,,,,,4,0,2,2
8,Accounts,Accounts,accounts,/dashboard/accounts,users,,,,,,,3,0,0,0
9,Clients,Clients,clients,/dashboard/accounts/clients,users,,,,,,,1,0,8,8
10,Administrators,,administrators,/dashboard/accounts/administrators,users,,,,,,,2,0,8,8
11,Admin Invites,,invites,/dashboard/accounts/administrators/invites,user,,,,,,,3,1,10,10
12,Profile,,profile,/dashboard/profile,user,,,,,,,4,1,0,0
13,Settings,,settings,/dashboard/settings,cogs,,,,,,,15,0,0,0
14,Navigation,,navigation,/dashboard/settings/navigation,align-center,Help,Helpfull text here - explaining what u can do here...,Information,Please complete the form to create the navigation,,,1,0,13,13
15,Navigation Order,Navigation Order,order,/dashboard/settings/navigation/order,list-ol,,,,,,,2,0,14,14
16,Roles,Roles,roles,/dashboard/settings/roles,universal-access,,,,,,,3,0,13,13
17,Permission,Permission,permission,/dashboard/settings/permission,universal-access,,,,,,,4,0,13,13
18,Settings,Settings,settings,/dashboard/settings/settings,cog,,,,,,,4,0,13,13
19,Pages,Pages,pages,/dashboard/pages,navicon,Help,All the menu items for the website.,Help,You can set the HTML Title and HTML Description.<br/>You can select the parent (under which navigation is this item).<br/>You can specify if the menu is hidden.,,,6,0,0,0
20,Navigation Order,Navigation Order,order,/dashboard/pages/order,list-ol,,,,,,,1,1,16,16
21,Reports,,reports,/dashboard/reports,bar-chart,,,,,,,7,0,0,0
22,Summary,,summary,/dashboard/reports/summary,align-left,,,,,,,1,0,21,21
23,Contact Us,,contact-us,/dashboard/reports/contact-us,comments-o,,,,,,,2,0,21,21
24,Latest Activity,Latest Activity,latest-activity,/dashboard/latest-activity,history,,,,,,,8,0,0,0
25,Website,,website,/dashboard/latest-activity/website,home,,,,,,,1,0,24,24
26,Dashboard,Dashboard,dashboard,/dashboard/latest-activity/dashboard,lock,,,,,,,2,0,24,24
27,General,General Website,general,/dashboard/general,cubes,,,,,,,9,0,0,0
28,Banners,Banners,banners,/dashboard/general/banners,image,,,,,,,27,0,27,27
29,Newsletter,Newsletter,newsletter,/dashboard/newsletter,newspaper-o,,,,,,,10,0,0,0
30,Subscribers,Newsletter Subscribers,subscribers,/dashboard/newsletter/subscribers,users,,,,,,,1,0,29,29
31,Blog,Blog,blog,/dashboard/blog,newspaper-o,,,,,,,11,0,0,0
32,Articles,Articles,articles,/dashboard/blog/articles,newspaper-o,,,,,,,1,0,31,31
33,Categories,Categories,categories,/dashboard/blog/categories,cubes,,,,,,,2,0,31,31
34,Gallery,Images,photos,/dashboard/photos,image,,,,,,,12,0,0,0
35,Photos,Photos,,/dashboard/photos,image,,,,,,,1,0,34,34
36,Albums,Albums,albums,/dashboard/photos/albums,cubes,,,,,,,2,0,34,34
37,Documents,Documents,documents,/dashboard/documents,files-o,,,,,,,13,0,0,0
38,Categories,Categories,categories,/dashboard/documents/categories,cubes,,,,,,,1,0,37,37
39,Documents,Documents,,/dashboard/documents,file-o,,,,,,,2,0,37,37
40,News and Events,News and Events,news-and-events,/dashboard/news-and-events,newspaper-o,,,,,,,14,0,0,0
41,News and Events,News and Events,news,/dashboard/news-and-events/news,newspaper-o,,,,,,,1,0,40,40
42,Categories,Categories,categories,/dashboard/news-and-events/categories,cubes,,,,,,,2,0,40,40
